Ingredient_id,Target_name
HBIN024973,CASP3
HBIN025344,PIM1
HBIN025344,DPEP1
HBIN025344,CDK2
HBIN025344,PPARG
HBIN025344,CCNA2
HBIN025344,GSK3B
HBIN025344,NCOA2
HBIN025344,NOS2
HBIN025344,AR
HBIN025344,DPP4
HBIN025344,ESR2
HBIN025344,CA2
HBIN025344,MAPK14
HBIN025344,PTGS2
HBIN025344,PTGS1
HBIN025344,CXCL8
HBIN025344,ESR1
HBIN025934,PRSS1
HBIN025934,BCHE
HBIN025940,NOS2
HBIN025940,DPP4
HBIN025940,NCOA1
HBIN025940,BCHE
HBIN025940,CA2
HBIN025940,ACHE
HBIN025940,NCOA2
HBIN025940,PRSS1
HBIN026276,AR
HBIN027030,ATMIN
HBIN027030,AKR1C3
HBIN027030,TP53
HBIN027030,SULT1A1
HBIN027030,MAPK1
HBIN027030,NOS2
HBIN027030,NFE2L2
HBIN027030,MGST1
HBIN027030,FASN
HBIN027030,EPHX1
HBIN027030,CYP17A1
HBIN027030,CDC25A
HBIN027030,CASP9
HBIN027030,CASP3
HBIN027030,FASLG
HBIN027045,CA2
HBIN027045,CDK2
HBIN027045,MAPK14
HBIN027045,PPARG
HBIN027045,PIM1
HBIN027045,AR
HBIN027045,DPP4
HBIN027045,NOS2
HBIN027045,ESR2
HBIN027045,GSK3B
HBIN027045,NCOA2
HBIN027045,PTGS2
HBIN027045,PTGS1
HBIN027045,MMP9
HBIN027045,ESR1
HBIN027547,NOS2
HBIN027547,ACHE
HBIN027547,PTGS2
HBIN028902,NR3C1
HBIN028902,AR
HBIN030053,CASP1
HBIN030819,NOS2
HBIN030819,ESR1
HBIN030819,PTGS2
HBIN030819,HMOX1
HBIN030819,GSTA2
HBIN031753,DPP4
HBIN031753,CHEK1
HBIN031753,CA2
HBIN031753,CCNA2
HBIN031753,CHRM2
HBIN031753,GSK3B
HBIN031753,ADRA1B
HBIN031753,CDK2
HBIN031753,DPEP1
HBIN031753,NCOA2
HBIN031753,CDK1
HBIN031753,MAPK14
HBIN031753,PIM1
HBIN031753,GABRA1
HBIN031753,F7
HBIN031753,AHSA1
HBIN031753,NR1I3
HBIN031753,NR1I2
HBIN031753,AKR1C3
HBIN031753,XDH
HBIN031753,VCAM1
HBIN031753,TNF
HBIN031753,STAT1
HBIN031753,SLPI
HBIN031753,SLC6A2
HBIN031753,SLC2A4
HBIN031753,SELE
HBIN031753,RELA
HBIN031753,PTGS2
HBIN031753,PTGS1
